Author,Quote,URL
Андре Моруа,"Не стоит ориентироваться на общественное мнение: это не маяк, а блуждающие огни. ",http://forismatic.com/ru/fb33417263/
Антисфен,"Кто боится других, тот раб, хотя он этого и не замечает. ",http://forismatic.com/ru/74ada7cc78/
Бетти Риз,"Если вы думаете что слишком малы, что бы быть эффективным, то вы никогда не засыпали с комаром в комнате. ",http://forismatic.com/ru/bec5e75225/
Дхаммапада,"Тронутые счастьем или же горем, мудрецы не показывают ни того, ни другого.",http://forismatic.com/ru/da39630cae/
Ж. Сюард,"Нет людей менее любопытных, чем те, которые ничего не знают.",http://forismatic.com/ru/3f577832e3/
Карлос Кастанеда,"Воины выигрывают свои битвы не потому, что они бьются головами о стены, а потому, что берут их. Воины прыгают через стены; они не разрушают их. ",http://forismatic.com/ru/ef580aaca7/
Карлос Кастанеда,"Сила зависит лишь от того, какого рода знанием владеет человек. Какой смысл в знании вещей, которые бесполезны? Они не готовят нас к неожиданной встрече с неизвестным.",http://forismatic.com/ru/f3653ec99c/
Лев Толстой,"Чем больше живет человек для души, тем меньше ему бывает помех во всех делах его и потому тем меньше он будет сердиться.",http://forismatic.com/ru/9b2d44bb13/
Станислав Ежи Лец,"Часто одной только смелости мало, нужна еще на­глость. ",http://forismatic.com/ru/017baf4a1e/
Харуки Мураками,"Человек поймет другого, когда придет соответствующее время, а не потому, что этот другой захочет, чтобы его поняли. ",http://forismatic.com/ru/aec101f327/
